id;age;gender;marital_status;region;education;occupation;account;subscription_period;weekly_usage_time;subscription_type;watch_with;major_platform;other_major_platform;platforms;user_friendliness;satisfaction;price_quality;future_user;preference;genre_1;genre_2;genre_3;n_episodes;additional_accounts;time_preference;suggestion;reason_no_netflix;other_platform
70;31;male;single;Piemonte;first-level master's degree;employed;si;over 24 months ;2;standard;friends;si;;netflix;very much;enough;enough;;movies;thriller;action;comedy;3-4 episodes;yes;late evening;contents;;
71;54;male;married;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;don't know;movies;action;comedy;thriller;single episode;no;;;no need;
72;27;male;single;Lazio;master's degree;employed;si;over 24 months ;7;standard;partner;si;;netflix;very much;very much;very;;tv series;thriller;fantasy;action;3-4 episodes;yes;late evening;nothing;;
73;59;female;married;Campania;master's degree;employed;no;;;;;;;;;;;don't know;movies;comedy;fantasy;drama;one-2 episodes;no;;;lack of time;
74;51;female;married;Piemonte;upper secondary school diploma;employed;si;over 24 months ;7;basic;;si;;netflix;very much;very much;very much;;tv series;action;thriller;comedy;3-4 episodes;yes;late evening;contents;;
75;29;female;single;Campania;upper secondary school diploma;unemployed;no;;;;;;;;;;;don't know;tv series;romantic;fantasy;comedy;one-2 episodes;no;;;other platforms;
76;55;female;married;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;don't know;movies;action;comedy;thriller;single episode;no;;;lack of time;
77;45;female;married;Emilia-Romagna;upper secondary school diploma;employed;no;;;;;;;;;;;no;movies;action;comedy;fantasy;one-2 episodes;no;;;others' account;
78;57;male;married;Campania;lower secondary school diploma;employed;no;;;;;;;;;;;don't know;movies;comedy;romantic;action;single episode;no;;;no need;
79;57;male;married;Campania;master's degree;employed;no;;;;;;;;;;;don't know;tv series;action;comedy;romantic;single episode;no;;;others' account;
80;41;male;separated;Campania;upper secondary school diploma;retired;si;over 24 months ;2;standard;partner;si;;netflix;very;very;enough;;tv series;comedy;thriller;romantic;7 or more;yes;early evening;contents;;
81;49;female;married;Campania;master's degree;employed;si;over 24 months ;7;standard;;si;;netflix;very much;very much;very much;;movies;comedy;action;drama;3-4 episodes;yes;late evening;nothing;;
82;50;female;married;Campania;upper secondary school diploma;homemaker;si;over 24 months ;0;standard;family;si;;netflix;very much;enough;enough;;movies;comedy;action;drama;single episode;no;late evening;nothing;;
83;24;female;single;Campania;lower secondary school diploma;retired;no;;;;;;;;;;;don't know;movies;action;comedy;drama;single episode;no;;;other platforms;
84;30;female;single;Campania;master's degree;employed;si;over 24 months ;3;standard;friends;si;;netflix;very much;a little;a little;;tv series;comedy;thriller;romantic;one-2 episodes;yes;late evening;contents;;
85;25;female;single;Marche;master's degree;employed;no;;;;;;;;;;;don't know;tv series;drama;fantasy;romantic;one-2 episodes;no;;;no need;
86;31;female;cohabiting;Puglia;upper secondary school diploma;employed;si;over 24 months ;2;basic;partner;si;;netflix;very much;very much;very much;;movies;drama;thriller;other;one-2 episodes;yes;late evening;contents;;prime video
87;62;male;married;Campania;second-level master's degree;employed;no;;;;;;;;;;;yes;tv series;romantic;action;comedy;single episode;yes;;;no need;
88;51;female;single;Lombardia;upper secondary school diploma;employed;no;;;;;;;;;;;don't know;movies;drama;action;comedy;single episode;no;;;no need;
89;23;female;single;Campania;upper secondary school diploma;student;no;;;;;;;;;;;don't know;tv series;fantasy;romantic;drama;3-4 episodes;no;;;no need;
90;20;female;single;Campania;upper secondary school diploma;student;no;;;;;;;;;;;don't know;movies;other;fantasy;action;3-4 episodes;no;;;price;
91;34;female;cohabiting;Campania;lower secondary school diploma;homemaker;si;over 24 months ;3;standard;partner;si;;netflix;a little;a little;a little;;tv series;fantasy;comedy;thriller;3-4 episodes;yes;late evening;personalization;;
92;20;female;single;Campania;upper secondary school diploma;student;si;over 24 months ;2;premium;friends;si;;netflix;very much;very;very;;movies;romantic;action;comedy;one-2 episodes;yes;late evening;contents;;
93;25;male;single;Campania;master's degree;employed;si;13 to 24 months;4;standard;;si;;netflix;very;very;very;;tv series;thriller;comedy;drama;one-2 episodes;yes;late evening;contents;;apple tv
94;31;female;cohabiting;Campania;master's degree;employed;si;over 24 months ;7;standard;family;si;;netflix;very much;very much;enough;;tv series;thriller;comedy;romantic;5-6 episodes;yes;early evening;contents;;disney plus
95;63;male;married;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;don't know;tv series;action;fantasy;thriller;one-2 episodes;no;;;price;
96;63;male;single;Campania;master's degree;employed;no;;;;;;;;;;;no;sport;comedy;action;romantic;single episode;no;;;no need;
97;57;male;married;Campania;master's degree;employed;si;over 24 months ;1;standard;;no;dazn;dazn;very;enough;enough;;movies;drama;comedy;romantic;single episode;yes;late evening;contents;;
98;52;female;married;Campania;upper secondary school diploma;employed;si;13 to 24 months;7;standard;;si;;netflix;very;very;enough;;tv series;comedy;fantasy;thriller;one-2 episodes;yes;late afternoon;contents;;
99;64;female;married;Campania;bachelor's degree;employed;no;;;;;;;;;;;no;tv series;comedy;drama;action;one-2 episodes;no;;;price;
100;44;female;married;Campania;second-level master's degree;employed;no;;;;;;;;;;;no;movies;comedy;action;drama;single episode;yes;;;no need;
101;22;male;cohabiting;Campania;upper secondary school diploma;employed;si;over 24 months ;1;standard;partner;no;paramount plus ;paramount plus;very;a little;not at all;;tv series;fantasy;horror;other;7 or more;yes;night;contents;;
102;26;male;cohabiting;Lazio;upper secondary school diploma;employed;si;over 24 months ;7;premium;partner;si;;netflix;very much;very;enough;;tv series;thriller;comedy;romantic;3-4 episodes;yes;late evening;contents;;prime video
103;48;male;cohabiting;Campania;first-level master's degree;employed;no;;;;;;;;;;;don't know;movies;action;comedy;fantasy;one-2 episodes;yes;;;other platforms;
104;24;male;single;Lazio;master's degree;employed;si;over 24 months ;5;standard;partner;si;;netflix;very much;very much;very much;;tv series;other;thriller;horror;one-2 episodes;yes;late evening;nothing;;prime video
105;62;female;separated;Campania;master's degree;employed;no;;;;;;;;;;;don't know;tv series;comedy;romantic;action;one-2 episodes;no;;;others' account;
106;40;female;married;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;no;movies;comedy;drama;action;one-2 episodes;no;;;no need;
107;70;female;married;Campania;upper secondary school diploma;retired;no;;;;;;;;;;;no;tv series;comedy;action;drama;one-2 episodes;no;;;no need;
108;31;male;single;Piemonte;upper secondary school diploma;employed;no;;;;;;;;;;;yes;tv series;thriller;fantasy;action;one-2 episodes;yes;;;others' account;prime video
109;49;male;married;Campania;master's degree;employed;no;;;;;;;;;;;don't know;movies;comedy;drama;action;one-2 episodes;no;;;no need;
